date,location,plant_id,vigor,inflorescences,fruits,avg_height,avg_width,notes,zone
8/27/20,Plover Area,101,4,X,X,X,X,dead,Ridge
8/27/20,Plover Area,102,1,600,<10k,97,194,,Ridge
8/27/20,Plover Area,103,1,704,<10k,83,166,,Slope
8/27/20,Plover Area,104,1,209,5k - 10k,52,104,seedlings,Slope
8/27/20,Plover Area,105,4,x,x,x,x,dead,Swale
8/27/20,Plover Area,106,1,112,1k - 5k,61,122,seedlings,Swale
8/27/20,Plover Area,107,1,260,5k - 10k,82,164,,Swale
8/27/20,Plover Area,108,4,X,X,X,X,dead,Slope
8/27/20,Plover Area,109,1,572,<10k,72,144,,Slope
8/27/20,Plover Area,110,4,X,X,X,X,dead,Swale
8/27/20,Plover Area,111,1,527,<10k,71,142,,Slope
8/27/20,Plover Area,112,1,527,<10k,74,148,,Slope
8/27/20,Plover Area,113,1,160,1k - 5k,79,158,,Slope
8/27/20,Plover Area,114,1,153,1k - 5k,61,122,,Swale
8/27/20,Plover Area,201,1,450,<10k,86,172,,Slope
8/27/20,Plover Area,202,3,0,0,14,28,pathogen/mildew,Slope
8/27/20,Plover Area,203,3,0,0,58,116,pathogen/mildew,Slope
8/27/20,Plover Area,204,1,510,<10k,75,150,,Slope
8/27/20,Plover Area,205,4,X,X,X,X,dead,Swale
8/27/20,Plover Area,206,1,960,<10k,98,196,,Slope
8/27/20,Plover Area,207,1,510,<10k,81,162,,Slope
8/27/20,Plover Area,208,3,0,0,31,62,pathogen/mildew,Slope
8/27/20,Plover Area,209,1,330,5k - 10k,85,170,,Slope
8/27/20,Plover Area,210,4,X,X,X,X,dead,Swale
8/27/20,Plover Area,211,1,144,1k - 5k,72,144,,Slope
8/27/20,Plover Area,212,1,510,<10k,81,162,,Slope
8/27/20,Plover Area,213,1,195,1k - 5k ,74,148,,Ridge
8/27/20,Plover Area,214,4,X,X,X,X,dead,Slope
8/27/20,Plover Area,215,1,510,<10k,75,150,,Slope
8/27/20,Plover Area,216,1,1040,<10k,98,196,,Slope
8/27/20,Plover Area,217,1,~1040,~ <10K,94,188,,Ridge
8/27/20,Plover Area,218,1,775,<10k,92,184,,Ridge
8/27/20,Plover Area,219,4,X,X,X,X,dead,Ridge
8/27/20,Plover Area,220,1,252,5k - 10k,59,118,,Ridge
8/27/20,Plover Area,221,3,0,0,43,86,,Slope
8/27/20,Plover Area,222,1,510,<10k,110,220,,Ridge
8/27/20,Plover Area,223,1,450,5k-10k,92,184,,Ridge
8/27/20,Plover Area,224,3,200,1k - 5k,61,122,pathogen/mildew,Ridge
8/27/20,Plover Area,225,1,500,10k,74,148,,Ridge
8/27/20,Plover Area,226,1,95,1k - 5k,60,120,,Ridge
8/27/20,Plover Area,301,1,600,<10k,91,182,,Slope
8/27/20,Plover Area,302,1,1000,<10k,97,194,,Slope
8/27/20,Plover Area,303,1,1000,<10k,97,194,,Ridge
8/27/20,Plover Area,304,1,440,5k - 10k,77,154,,Ridge
8/27/20,Plover Area,305,1,440,5k - 10k,81,162,,Swale
8/27/20,Plover Area,306,1,420,5k - 10k,120,240,,Slope
8/27/20,Plover Area,307,1,1000,<10k,115,230,,Swale
8/27/20,Plover Area,308,1,1000,<10k,115,230,,Ridge
8/27/20,Plover Area,309,1,750,<10k,97,194,,Ridge
8/27/20,Plover Area,310,1,750,<10k,97,194,,Ridge
8/27/20,Plover Area,311,1,1000,<10k,98,196,,Slope
8/27/20,Plover Area,312,1,315,5k - 10k,77,154,,Ridge
8/27/20,Plover Area,313,1,1000,<10k,126,252,,Slope
8/27/20,Plover Area,314,1,500,<10k,74,146,,Ridge
8/27/20,Plover Area,315,1,880,<10k,87,174,,Slope
8/27/20,Plover Area,316,3,0,0,14,28,pathogen/mildew,Slope
8/27/20,Plover Area,317,40,X,X,X,X,dead,Ridge
8/27/20,Plover Area,318,1,840,<10k,97,194,,Ridge
8/27/20,Plover Area,319,1,570,<10k,71,142,,Ridge
8/27/20,Plover Area,320,1,80,1k - 5k,55,110,,Swale
8/27/20,Plover Area,321,4,X,X,X,X,,Swale
8/27/20,Plover Area,322,1,120,1k - 5k,68,136,,Slope
8/27/20,Plover Area,323,1,600,<10k,86,172,,Ridge
8/27/20,Plover Area,324,4,X,X,X,X,dead,Ridge
8/27/20,Plover Area,325,4,X,X,X,X,dead,Swale
8/27/20,Plover Area,326,1,56,1k - 5k,61,122,,Ridge
8/27/20,Plover Area,327,1,600,<10k,86,172,,Ridge
8/27/20,Plover Area,328,1,480,5k - 10k,71,142,,Swale
8/27/20,Plover Area,401,1,735,<10k,76,152,,Ridge
8/27/20,Plover Area,402,1,730,<10k,94,188,,Ridge
8/27/20,Plover Area,403,1,600,<10k,112,224,,Slope
8/27/20,Plover Area,404,1,660,<10k,79,158,,Ridge
8/27/20,Plover Area,405,4,X,X,X,X,dead,Swale
8/27/20,Plover Area,406,1,322,5k - 10k,64,128,,Ridge
8/27/20,Plover Area,407,1,730,<10k,95,170,,Ridge
8/27/20,Plover Area,408,1,730,<10k,113,226,,Slope
8/27/20,Plover Area,409,1,1000,<10k,90,180,,Slope
8/27/20,Plover Area,410,1,88,1k - 5k,74,148,,Swale
8/27/20,Plover Area,411,3,0,0,5,10,pathogen,Swale
8/27/20,Plover Area,412,1,240,1k - 5k,90,140,,Slope
8/27/20,Plover Area,413,1,180,1k - 5k ,95,190,,Swale
8/27/20,Plover Area,414,4,X,X,X,X,dead,Swale
8/27/20,Plover Area,415,1,115,1k - 5k,73,146,,Swale
8/27/20,Plover Area,416,1,700,<10k,132,264,,Slope
8/27/20,Plover Area,417,4,X,X,X,X,dead,Swale
8/27/20,Plover Area,418,1,720,<10k,~120,~240,,Slope
8/27/20,Plover Area,419,1,80,1k - 5k,82,164,,Swale
8/27/20,Plover Area,420,1,560,<10k,98,196,,Slope
8/27/20,Plover Area,421,1,120,1k - 5k,66,132,,Swale
8/27/20,Plover Area,422,1,700,<10k,97,194,,Slope
8/27/20,Plover Area,423,1,150,1k - 5k,73,146,,Swale
8/27/20,Plover Area,424,1,56,1k - 5k,68,136,,Swale
8/27/20,Plover Area,501,1,600,<10k,94,188,,Slope
8/27/20,Plover Area,502,1,680,<10k,91,182,,Ridge
8/27/20,Plover Area,503,1,600,<10k,91,182,,Slope
8/27/20,Plover Area,504,1,600,<10k,91,182,,Ridge
8/27/20,Plover Area,505,1,600,<10k,91,182,,Slope
8/27/20,Plover Area,506,1,600,<10k,91,182,,Slope
8/27/20,Plover Area,507,1,600,<10k,91,182,,Ridge
8/27/20,Plover Area,508,1,600,<10k,91,182,,Ridge
8/27/20,Plover Area,509,1,600,<10k,91,182,,Slope
8/27/20,Plover Area,510,1,600,<10k,91,182,,Ridge
8/27/20,Plover Area,511,1,600,<10k,91,182,,Slope
8/27/20,Plover Area,512,1,480,5k-10k,86,172,,Slope
8/27/20,Plover Area,513,1,500,<10k,98,196,,Slope
8/27/20,Plover Area,514,4,X,X,X,X,dead,Swale
8/27/20,Plover Area,515,4,X,X,X,X,dead,Slope
8/27/20,Plover Area,516,1,840,<10k,110,220,,Slope
8/27/20,Plover Area,517,1,840,<10k,110,220,,Slope
8/27/20,Plover Area,518,4,X,X,X,X,dead,Swale
8/27/20,Plover Area,519,1,960,<10k,112,224,,Slope
8/27/20,Plover Area,520,1,900,<10k,112,224,,Slope
8/27/20,Plover Area,521,1,330,5k - 10k,78,156,,Slope
8/27/20,Plover Area,601,1,540,<10k,77,154,,Slope
8/27/20,Plover Area,602,1,550,<10k,89,178,,Slope
8/27/20,Plover Area,603,1,650,<10k,105,210,,Slope
8/27/20,Plover Area,604,4,X,X,X,X,dead,Slope
8/27/20,Plover Area,605,4,X,X,X,X,dead,Slope
8/27/20,Plover Area,606,1,750,<10k,110,220,,Slope
8/27/20,Plover Area,607,4,X,X,X,X,dead,Swale
8/27/20,Plover Area,608,4,X,X,X,X,dead,Slope
8/27/20,Plover Area,609,1,700,<10k,98,196,,Slope
8/27/20,Plover Area,610,4,X,X,X,X,dead,Slope
8/27/20,Plover Area,611,1,650,<10k,91,182,,Slope
8/27/20,Plover Area,612,1,630,<10k,98,196,,Ridge
8/27/20,Plover Area,613,2,50,1k - 5k,76,152,,Slope
8/27/20,Plover Area,614,1,640,<10k,91,182,,Slope
8/27/20,Plover Area,615,1,700,<10k,105,210,,Ridge
8/27/20,Plover Area,616,1,660,<10k,105,210,,Slope
8/27/20,Plover Area,617,1,180,1k - 5k,61,122,,Swale
8/27/20,Plover Area,618,1,800,<10k,104,208,,Slope
8/27/20,Plover Area,619,4,X,X,X,X,dead,Swale
8/27/20,Plover Area,620,1,800,<10k,110,220,,Slope
8/27/20,Plover Area,621,1,315,5k - 10k,76,152,,Slope
8/27/20,Plover Area,622,1,360,5k - 10k,75,150,,Slope
8/27/20,Plover Area,623,2,260,5k - 10k,71,142,,Slope
8/27/20,Plover Area,624,4,X,X,X,X,dead,Swale
8/27/20,Plover Area,625,1,500,<10k,78,156,,Slope
8/27/20,Plover Area,626,1,360,5k - 10k,81,162,,Slope
8/27/20,Plover Area,701,1,400,5k - 10k,104,208,,Ridge
8/27/20,Plover Area,702,1,720,<10k,110,220,,Slope
8/27/20,Plover Area,703,1,720,<10k,98,196,,Slope
8/27/20,Plover Area,704,1,700,<10k,120,240,,Slope
8/27/20,Plover Area,705,1,700,<10k,115,230,,Slope
8/27/20,Plover Area,706,1,700,<10k,110,220,,Slope
8/27/20,Plover Area,707,1,900,<10k,100,200,,Slope
8/27/20,Plover Area,708,1,850,<10k,99,198,,Slope
8/27/20,Plover Area,709,4,X,X,X,X,dead,Slope
8/27/20,Plover Area,710,1,492,5k - 10k,96,192,,Ridge
8/27/20,Plover Area,711,1,400,5k - 10k,87,174,,Slope
8/27/20,Plover Area,712,1,680,<10k,105,210,,Slope
8/27/20,Plover Area,713,4,X,X,X,X,dead,Swale
8/27/20,Plover Area,714,1,600,<10k,101,202,,Slope
8/27/20,Plover Area,715,1,620,<10k,~100,~200,,Slope
8/27/20,Plover Area,716,1,900,<10k,99,198,,Slope
8/27/20,Plover Area,717,4,X,X,X,X,dead,Swale
8/27/20,Plover Area,718,4,X,X,X,X,dead,Swale
8/27/20,Plover Area,719,1,690,<10k,101,202,,Slope
8/27/20,Plover Area,720,1,450,5k - 10k,103,206,,Slope
8/27/20,Plover Area,721,4,X,X,X,X,dead,Slope
8/27/20,Plover Area,722,1,400,5k - 10k,74,148,,Slope
8/27/20,Plover Area,723,1,450,5k - 10k,91,182,,Slope
8/27/20,Plover Area,724,4,X,X,X,X,dead,Swale
8/27/20,Plover Area,725,4,X,X,X,X,dead,Swale
8/27/20,Plover Area,726,1,500,<10k,69,138,,Slope
8/27/20,Plover Area,727,4,X,X,X,X,dead,Slope
8/27/20,Plover Area,728,4,X,X,X,X,dead,Slope
8/27/20,Plover Area,801,1,68,1k - 5k,41,82,,Swale
8/27/20,Plover Area,802,1,930,<10k,105,210,,Slope
8/27/20,Plover Area,803,1,900,<10k,101,202,,Slope
8/27/20,Plover Area,804,2,600,<10k,74,148,pathogen,Slope
8/27/20,Plover Area,805,1,600,<10k,104,208,,Slope
8/27/20,Plover Area,806,1,600,<10k,104,208,,Slope
8/27/20,Plover Area,807,1,600,<10k,104,208,,Ridge
8/27/20,Plover Area,808,1,600,<10k,104,208,,Slope
8/27/20,Plover Area,809,1,600,<10k,104,208,,Ridge
8/27/20,Plover Area,810,1,600,<10k,104,208,,Ridge
8/27/20,Plover Area,811,1,600,<10k,104,208,,Slope
8/27/20,Plover Area,812,1,600,<10k,104,208,,Ridge
8/27/20,Plover Area,813,1,600,<10k,104,208,,Slope
8/27/20,Plover Area,814,1,600,<10k,104,208,,Slope
8/27/20,Plover Area,815,1,600,<10k,104,208,,Slope
8/27/20,Plover Area,816,1,600,<10k,104,208,,Ridge
8/27/20,Plover Area,817,1,600,<10k,104,208,,Slope
8/27/20,Plover Area,818,1,675,<10k,106,212,,Slope
8/27/20,Plover Area,819,1,675,<10k,120,240,,Slope
8/27/20,Plover Area,820,1,330,5k - 10k,110,220,,Slope
8/27/20,Plover Area,821,1,90,1k - 5k,51,102,,Swale
8/27/20,Plover Area,822,4,X,X,X,X,dead,Swale
8/27/20,Plover Area,901,1,420,<10k,81,162,,Slope
8/27/20,Plover Area,902,1,450,<10k,99,198,,Slope
8/27/20,Plover Area,903,1,840,<10k,113,226,,Slope
8/27/20,Plover Area,904,4,X,X,X,X,dead,Swale
8/27/20,Plover Area,905,1,800,<10k,118,236,,Slope
8/27/20,Plover Area,906,4,X,X,X,X,dead,Swale
8/27/20,Plover Area,907,4,X,X,X,X,dead,Swale
8/27/20,Plover Area,908,4,X,X,X,X,dead,Swale
8/27/20,Plover Area,909,1,800,<10k,~100,~200,,Slope
8/27/20,Plover Area,910,1,800,<10k,~100,~200,,Slope
8/27/20,Plover Area,911,1,650,<10k,123,246,,Slope
8/27/20,Plover Area,912,1,126,1k - 5k,63,126,,Swale
8/27/20,Plover Area,913,1,810,<10k,119,238,,Slope
8/27/20,Plover Area,914,1,800,<10k,98,196,,Slope
8/27/20,Plover Area,1001,1,510,<10k,79,158,,Slope
8/27/20,Plover Area,1002,1,660,<10k,99,198,,Slope
8/27/20,Plover Area,1003,1,660,<10k,~100,~200,,Slope
8/27/20,Plover Area,1004,1,600,<10k,117,234,,Slope
8/27/20,Plover Area,1005,1,630,<10k,~100,~200,,Ridge
8/27/20,Plover Area,1006,1,~600,<10k,~100,~200,,Slope
8/27/20,Plover Area,1007,1,~601,<10k,~101,~200,,Ridge
8/27/20,Plover Area,1008,1,~602,<10k,~102,~200,,Slope
8/27/20,Plover Area,1009,1,~603,<10k,~103,~200,,Ridge
8/27/20,Plover Area,1010,1,~604,<10k,~104,~200,,Slope
8/27/20,Plover Area,1011,1,950,<10k,103,206,,Ridge
8/27/20,Plover Area,1012,1,120,1k - 5k,64,128,,Slope
8/27/20,Plover Area,1013,1,580,<10k,85,170,,Ridge
8/27/20,Plover Area,1014,1,300,5k - 10k,77,154,,Ridge
8/27/20,Plover Area,1015,1,180,1k - 5k,65,130,,Ridge
8/27/20,Plover Area,1016,1,240,5k - 10k,77,154,,Slope
8/27/20,Plover Area,1017,1,20,100- 1k,45,90,,Ridge
8/27/20,Plover Area,1018,3,0,0,38,76,pathogen,Ridge
8/27/20,Plover Area,1019,1,105,1k - 5k,61,122,,Ridge
8/27/20,Plover Area,1020,1,150,1k - 5k,66,132,,Ridge
8/27/20,EEM Willows,1101,1,476,<10k,106,212,,Slope
8/27/20,EEM Willows,1102,2,36,1k,54,108,predation by snails,Slope
8/27/20,EEM Willows,1103,3,60,1k - 5k,57,114,,Ridge
8/27/20,EEM Willows,1104,1,260,5k - 10k,93,186,,Slope
8/27/20,EEM Willows,1105,4,X,X,X,X,dead,Slope
8/27/20,EEM Willows,1106,1,170,1k - 5k,114,228,,Ridge
8/27/20,Plover Area,A,1,400,1k - 5k,86,172,,
8/27/20,Plover Area,B,1,340,5k - 10k,110,220,,
8/27/20,Plover Area,C,1,432,5k - 10k,98,196,,
8/27/20,Plover Area,D,1,221,1k - 5k,92,184,,
8/27/20,Plover Area,E,1,32,100 - 1k,46,92,,
8/27/20,Plover Area,F,1,208,5k - 10k,70,140,,
8/27/20,Plover Area,G,1,442,5k - 10k ,98,196,,
8/27/20,Plover Area,H,1,432,<10k,110,220,,