Sample ID,Maternal Line,Salinity ,Rhizobia (+/-),Germinated before planting,Germination Date,Date of planting,Soil Type,Soil autoclave,"Germinated 
after planting",N added,"Yellow leaves 
4/9/20","Yellow/dead leaves 
4/13/20","Yellow/dead leaves
4/16/20","Yellow/dead leaves
4/20/20","Yellow/dead leaves
4/22/20","Yellow leaves 
(didn't water)
5/4/20","Yellow leaves
5/6/20",Date,Category,"Total # of
leaves","Healthy leaves 
(# leaf - # leaf)",# weeds,"Small plants: 
notes","4th leaf:
state","4th leaf -
length (cm)","4th leaf:
# of leaflets","5th leaf:
state","5th leaf:
length (cm)","5th leaf:
# of leaflets","6th leaf:
state","6th leaf:
length (cm)","6th leaf:
# of leaflets","7th leaf:
state","7th leaf:
length (cm)","7th leaf:
# of leaflets","8th leaf:
state","8th leaf:
length (cm)","8th leaf:
# of leaflets","9th leaf:
state","9th leaf:
length (cm)","9th leaf:
# of leaflets",,,
1,A2,100,R,Y,2/10/20,2/8/20,potting soil,-,,5/8/20,,,,,,,1 yellow,5/29/20,small plant,6,5-6,0,,,,,,,,,,,,,,,,,,,,,,
2,A2,100,R,Y,2/10/20,2/8/20,potting soil,-,,5/8/20,,,,,,,,5/29/20,small plant,6,4-6,0,,,,,,,,,,,,,,,,,,,,,,
3,A2,0,R,Y,2/14/20,2/8/20,potting soil,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
4,A2,0,R,Y,2/10/20,2/8/20,potting soil,-,,4/22/20,1/5,"1/6 yellow, 1/6 dead",2/6 dead,"1/6 yellow, 2/6 dead","1/6 yellow, 2/6 dead",,,5/29/20,big plant,9,7-9,0,,dead,na,na,dead,na,na,dead,na,na,"green, brown tip",3.5,30,green,6.6,31,,,,,,
5,A2,0,R,Y,2/14/20,2/8/20,potting soil,-,,4/22/20,,,,2/6 yellow,"2/6 yellow, 1/6 dead",,,5/29/20,big plant,8,6-8,0,,dead,na,na,yellow,6.1,17,yellow,6,25,yellow-green,5.7,29,,,,,,,,,
6,A2,100,-,Y,2/10/20,2/8/20,potting soil,-,,4/22/20,,1/5 yellow,1/5 yellow,1/5 dead,"1/5 yellow, 1/5 dead",,,5/29/20,small plant,6,5-6,0,,,,,,,,,,,,,,,,,,,,,,
7,A2,100,R,Y,2/10/20,2/8/20,plover,-,,5/8/20,,2/3 yellow,,,,,,5/29/20,small plant,4,3-4,0,,,,,,,,,,,,,,,,,,,,,,
8,A2,100,R,Y,2/14/20,2/8/20,plover,-,,5/8/20,1/3,2/3 yellow,,,,,,5/29/20,small plant,4,1-4,0,,,,,,,,,,,,,,,,,,,,,,
9,A2,0,R,N,did not germinate,2/8/20,plover,-,,5/8/20,,1/3 yellow,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
10,A2,0,R,Y,2/10/20,2/8/20,plover,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,1,,,,,,,,,,,,,,,,,,,,,,
11,A2,100,-,Y,2/10/20,2/8/20,plover,-,,4/22/20,,1/5 yellow,1/5 yellow,1/6 yellow,"1/6 yellow, 1/6 dead",,,5/29/20,big plant,7,3-7,0,,green,5.7,9,green,4.3,17,green,3.2,27,,,,,,,,,,,,
12,A2,100,-,Y,2/12/20,2/8/20,plover,-,,5/8/20,1/3,1/3 yellow,1/3 yellow,,,,,5/29/20,small plant,6,5-6,0,1 yellow leaf,,,,,,,,,,,,,,,,,,,,,
13,A2,100,R,Y,2/14/20,2/8/20,iris,-,,4/22/20,1/5,"1/5 yellow, 1/5 dead","1/5 yellow, 1/5 dead",2/6 dead,2/6 dead,,,5/29/20,small plant,6,3-6,0,,,,,,,,,,,,,,,,,,,,,,
14,A2,100,R,Y,2/10/20,2/8/20,iris,-,,4/22/20,,,1/5 yellow,1/5 yellow,"1/6 yellow, 1/6 dead",,,5/29/20,big plant,7,4-7,0,,"green, wilting",6.5,13,green,6.6,21,green,5.4,25,,,,,,,,,,,,
15,A2,0,R,N,did not germinate,2/8/20,iris,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
16,A2,0,R,Y,2/10/20,2/8/20,iris,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,1,,,,,,,,,,,,,,,,,,,,,,
17,A2,100,-,Y,2/10/20,2/8/20,iris,-,,4/22/20,,1/5 yellow,1/5 dead,1/5 dead,"1/6 yellow, 1/6 dead",,,5/29/20,big plant,8,6-8,0,,dead,na,na,dead,na,na,green,6.8,23,green,5.8,25,,,,,,,,,
18,A2,100,-,N,did not germinate,2/8/20,iris,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,1,,,,,,,,,,,,,,,,,,,,,,
19,A2,100,-,Y,2/10/20,2/8/20,EEM,-,,4/22/20,1/4,"2/6 yellow, 1/6 dead","1/6 yellow, 2/6 dead","1/6 yellow, 1/6 dead",3/6 dead,,,5/29/20,big plant,8,5-8,1,,dead,na,na,yellow-green,7.1,24,yellow-green,6.7,31,green,7,31,,,,,,,,,
20,A2,100,-,Y,2/10/20,2/8/20,EEM,-,,4/22/20,1/4,"1/5 yellow, 1/5 dead",2/5 dead,2/6 dead,"1/6 yellow, 2/6 dead",,,5/29/20,big plant,8,6-8,0,,dead,na,na,dead,na,na,"green, brown tip",7.1,26,green,5.9,30,,,,,,,,,
21,A2,1,R,Y,2/14/20,2/8/20,potting soil,-,,5/8/20,,,,,,,,5/29/20,small plant,5,1-5,0,,,,,,,,,,,,,,,,,,,,,,
22,A2,1,R,Y,2/10/20,2/8/20,potting soil,-,,4/22/20,1/4,1/6 dead,"1/6 yellow, 1/6 dead","1/6 yellow, 1/6 dead",2/6 dead,,,5/29/20,big plant,8,4-8,0,,yellow-green,6.6,15,green,5.4,19,green,5.5,25,green,5.4,29,,,,,,,,,
23,A2,1,R,N,did not germinate,2/8/20,potting soil,-,Yes,5/8/20,,,,,,,,5/29/20,small plant,5,1-5,0,,,,,,,,,,,,,,,,,,,,,,
24,B,100,R,Y,2/10/20,2/8/20,potting soil,-,,4/22/20,,1/5 yellow,"1/5 yellow, 1/5 dead",2/5 dead,"1/5 yellow, 2/5 dead",,,5/29/20,big plant,8,6-8,0,,dead,na,na,dead,na,na,green,6.5,25,green,6,31,,,,,,,,,
25,A3,1,R,Y,2/10/20,2/8/20,potting soil,-,,4/22/20,1/5,1/5 dead,1/5 dead,1/5 dead,"1/6 yellow, 1/6 dead",,,5/29/20,big plant,8,6-8,0,,dead,na,na,dead,na,na,green,5.1,25,green,6.1,28,,,,,,,,,
26,B,1,R,Y,2/12/20,2/8/20,potting soil,-,,4/22/20,1/5,2/6 dead,2/6 dead,2/6 dead,"1/7 yellow, 2/7 dead",,,5/29/20,big plant,8,7-8,0,,dead,na,na,dead,na,na,dead,na,na,"green, brown tip",4.3,23,,,,,,,,,
27,A2,1,R,Y,2/10/20,2/8/20,plover,-,,5/8/20,,,,,,,,5/29/20,small plant,6,4-6,0,plant is gray,,,,,,,,,,,,,,,,,,,,,
28,A2,1,R,N,did not germinate,2/8/20,plover,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
29,A3,1,R,Y,2/12/20,2/8/20,plover,-,,5/8/20,,,,,,,,5/29/20,big plant,7,4-7,0,,"green, curled",5.1,9,"green, curled",4.8,14,green,6.2,17,,,,,,,,,,,,
30,B,1,R,N,did not germinate,2/8/20,plover,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
31,A3,100,R,N,did not germinate,2/8/20,plover,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
32,A2,1,-,Y,2/10/20,2/8/20,plover,-,,4/22/20,,,,"2/9 yellow, 1/9 dead","2/9 yellow, 1/9 dead",,,5/29/20,2 plants,"(1) 6
(2) 6","(1) 4-6
(2) 5-6",0,,,,,,,,,,,,,,,,,,,,,,
33,A2,1,R,Y,2/12/20,2/8/20,iris,-,,4/22/20,,1/5 yellow,"1/5 yellow, 1/5 dead",2/6 dead,2/6 dead,,,5/29/20,big plant,7,4-7,0,,yellow-green,6.7,16,green,6.3,19,green,5.2,25,,,,,,,,,,,,
34,A2,1,R,Y,2/10/20,2/8/20,iris,-,,5/8/20,,,,,,,,5/29/20,big plant,8,6-8,1,,dead,na,na,dead,na,na,green,5.6,22,green,4.2,27,,,,,,,,,
35,B,1,R,Y,2/14/20,2/8/20,iris,-,,5/8/20,,1/5 yellow,"1/5 yellow, 1/5 dead",2/4 dead,,,,5/29/20,small plant,5,4-5,1,,,,,,,,,,,,,,,,,,,,,,
36,A3,1,R,Y,2/10/20,2/8/20,iris,-,,4/22/20,,,,"1/5 yellow, 1/5 dead","1/6 yellow, 1/6 dead",,,5/29/20,small plant,6,5-6,1,,,,,,,,,,,,,,,,,,,,,,
37,A3,100,R,Y,2/10/20,2/8/20,iris,-,,4/22/20,,1/6 yellow,1/6 yellow,"1/6 yellow, 1/6 dead","1/6 yellow, 1/6 dead",,,5/29/20,big plant,8,5-8,0,,dead,na,na,green,6.7,15,green,6.8,23,green,5.2,27,,,,,,,,,
38,A2,1,-,Y,2/12/20,2/8/20,iris,-,,5/8/20,,,,,,,,5/29/20,big plant,7,5-7,0,,dead,na,na,green,6.7,21,green,6,27,,,,,,,,,,,,
39,A2,0,R,Y,2/10/20,2/8/20,EEM,-,,5/8/20,1/4,2/6 dying,2/6 dead,"1/5 yellow, 1/5 dead",,,,5/29/20,big plant,9,8-9,0,,dead,na,na,dead,na,na,dead,na,na,dead,na,na,"gray-green, wilting",4.5,28,,,,,,
40,A2,0,R,N,did not germinate,2/8/20,EEM,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
41,B,10,-,Y,2/10/20,2/8/20,potting soil,-,,4/22/20,,1/5 yellow,"1/5 yellow, 1/5 dead","1/6 yellow, 2/6 dead","1/6 yellow, 2/6 dead",1 yellow,1 yellow,5/29/20,big plant,7,6-7,0,,dead,na,na,dead,na,na,green,5.7,27,,,,,,,,,,,,
42,A2,50,-,Y,2/12/20,2/8/20,potting soil,-,,4/22/20,,"1/6 yellow, 1/6 dead","1/6 yellow, 1/6 dead",2/6 dead,2/6 dead,1 yellow,1 yellow,5/29/20,big plant,9,7-9,0,,dead,na,na,dead,na,na,dead,na,na,"green, wilting",5.4,30,green,4.8,29,,,,,,
43,B,50,R,Y,2/10/20,2/8/20,potting soil,-,,4/22/20,,2/5 yellow,2/5 yellow,2/5 yellow,2/6 yellow,1 yellow,1 yellow,5/29/20,big plant,7,6-7,0,,dead,na,na,dead,na,na,green,6.9,22,,,,,,,,,,,,
44,B,0,-,Y,2/12/20,2/8/20,potting soil,-,,4/22/20,,,,,2/6 yellow,,,5/29/20,big plant,7,5-7,0,,dead,na,na,green,6.8,25,green,6.5,28,,,,,,,,,,,,
45,A3,50,R,Y,2/10/20,2/8/20,potting soil,-,,4/22/20,,"1/6 yellow, 1/6 dead",2/6 dead,2/5 dead,2/7 dead,,,5/29/20,big plant,9,7-9,0,,dead,na,na,dead,na,na,dead,na,na,green,5.9,30,green,6,32,,,,,,
46,A2,50,R,Y,2/10/20,2/8/20,potting soil,-,,4/22/20,,,,1/6 yellow,"1/6 yellow, 1/6 dead",,,5/29/20,big plant,8,6-8,0,,dead,na,na,dead,na,na,"green, wilting",5.4,26,green,5.4,31,,,,,,,,,
47,B,10,-,Y,2/10/20,2/8/20,plover,-,,,,,,,,,,5/29/20,small plant,6,1-6,0,,,,,,,,,,,,,,,,,,,,,,
48,A2,50,-,Y,2/14/20,2/8/20,plover,-,,4/22/20,1/3,,1/3 yellow,1/3 yellow,1/3 yellow,,,5/29/20,small plant,3,1-3,0,,,,,,,,,,,,,,,,,,,,,,
49,B,50,R,Y,2/12/20,2/8/20,plover,-,,5/8/20,1/3,,1/3 yellow,1/3 yellow,,,,5/29/20,small plant,6,1-6,0,,,,,,,,,,,,,,,,,,,,,,
50,B,0,-,N,did not germinate,2/8/20,plover,-,,5/8/20,1/4,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
51,A3,5,R,Y,2/10/20,2/8/20,plover,-,,4/22/20,,,,1/5 yellow,1/5 yellow,,,5/29/20,big plant,7,5-7,0,,dead,na,na,yellow-green,5.1,17,green,4.3,21,,,,,,,,,,,,
52,A2,50,R,Y,2/12/20,2/8/20,plover,-,,4/22/20,,,2/6 yellow,"1/6 yellow, 1/6 dead","1/6 yellow, 1/6 dead",,,5/29/20,big plant,8,6-8,0,,dead,na,na,dead,na,na,green,6,22,green,5,29,,,,,,,,,
53,B,10,-,Y,2/14/20,2/8/20,iris,-,,4/22/20,,2/5 yellow,2/5 dead,2/6 dead,2/6 dead,,,5/29/20,big plant,8,6-8,0,,dead,na,na,dead,na,na,gray-green,6.1,25,green,4.1,30,,,,,,,,,
54,A2,50,-,Y,2/10/20,2/8/20,iris,-,,4/22/20,,,"1/5 yellow, 1/5 dead",2/6 yellow,2/6 dead,,,5/29/20,big plant,7,5-7,1,,dead,na,na,green,5.2,24,green,5.6,26,,,,,,,,,,,,
55,B,50,R,N,did not germinate,2/8/20,iris,-,,5/8/20,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
56,B,0,-,Y,2/10/20,2/8/20,iris,-,,5/8/20,,2/5 dead,2/5 dead,2/6 dead,,,,5/29/20,big plant,8,7-8,0,,dead,na,na,dead,na,na,dead,na,na,green,5.2,31,,,,,,,,,
57,A3,50,R,N,did not germinate,2/8/20,iris,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,1,,,,,,,,,,,,,,,,,,,,,,
58,A2,50,R,Y,2/12/20,2/8/20,iris,-,,5/8/20,,,,,,,,5/29/20,small plant,5,3-5,1,,,,,,,,,,,,,,,,,,,,,,
59,A2,100,-,Y,2/10/20,2/8/20,EEM,-,,4/22/20,,,"2/10 yellow, 4/10 dead","2/11 yellow, 4/11 dead","1/11 yellow, 5/11 dead",,,5/29/20,2 plants,"(1) 8
(2) 7","(1) 6-8
(2) 5-7",0,,"(1) dead
(2) dead","(1) na
(2) na","(1) na
(2) na","(1) dead
(2) yellow-green","(1) na
(2) 4.8","(1) na
(2) 19","(1) green
(2) green","(1) 5.9
(2) 4.1","(1) 21
(2) 21",(1) green,(1) 5.8,(1) 27,,,,,,,,,
60,A2,100,-,Y,2/14/20,2/8/20,EEM,-,,5/8/20,,,,,,,,5/29/20,small plant,4,1-4,0,,,,,,,,,,,,,,,,,,,,,,
61,B,100,-,Y,2/10/20,2/8/20,potting soil,-,,4/22/20,,,2/6 yellow,"1/6 yellow, 2/6 dead","1/7 yellow, 2/7 dead",,,5/29/20,big plant,9,7-9,0,,dead,na,na,yellow,5.9,18,yellow,6.2,23,green,6.3,27,green 6,6,29,,,,,,
62,A2,100,R,N,did not germinate,2/8/20,potting soil,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
63,B,0,R,Y,2/10/20,2/8/20,potting soil,-,,4/22/20,,,"1/6 yellow, 1/6 dead",2/6 dead,2/7 dead,,,5/29/20,big plant,7,5-7,0,,dead,na,na,green,5.3,23,green,5.4,27,,,,,,,,,,,,
64,B,1,-,Y,2/14/20,2/8/20,potting soil,-,,4/22/20,,,2/5 yellow,"1/6 yellow, 1/6 dead",2/6 dead,1 yellow,,5/29/20,big plant,8,6-8,0,,dead,na,na,dead,na,na,green,5.5,24,green,5.8,29,,,,,,,,,
65,B,50,-,Y,2/10/20,2/8/20,potting soil,-,,4/22/20,,2/6 dead,2/6 dead,2/6 dead,"1/7 yellow, 2/7 dead",,,5/29/20,big plant,9,7-9,0,,dead,na,na,dead,na,na,dead,na,na,green,6.4,33,green,6.3,31,,,,,,
66,A2,0,-,Y,2/10/20,2/8/20,potting soil,-,,4/22/20,,2/5 dead,2/5 dead,"1/5 yellow, 2/5 dead","1/5 yellow, 2/5 dead",,,5/29/20,big plant,8,5-8,0,,dead,na,na,yellow-green,7.4,19,green,7.8,27,green,6.7,31,,,,,,,,,
67,B,100,-,Y,2/14/20,2/8/20,plover,-,,5/8/20,,,,,,,,5/29/20,big plant,8,6-8,0,,dead,na,na,dead,na,na,yellow,6.9,21,green,5.2,25,,,,,,,,,
68,A2,100,R,N,did not germinate,2/8/20,plover,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
69,B,0,R,Y,2/10/20,2/8/20,plover,-,,4/22/20,1/3,2/3 yellow,2/3 yellow,1/3 yellow,1/3 yellow,1 yellow,1 yellow,5/29/20,small plant,4,1-4,0,,,,,,,,,,,,,,,,,,,,,,
70,B,1,-,Y,2/10/20,2/8/20,plover,-,,4/22/20,1/3,1/3 yellow,1/3 yellow,1/3 yellow,1/3 yellow,1 yellow,1 yellow,5/29/20,small plant,4,1-4,0,1 yellow leaf,,,,,,,,,,,,,,,,,,,,,
71,B,50,-,N,did not germinate,2/8/20,plover,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
72,A2,0,-,Y,2/12/20,2/8/20,plover,-,,4/22/20,2/9,2/9 yellow,,"3/9 yellow, 1/9 dead","2/9 yellow, 2/9 dead",,,5/29/20,2 plants,"(1) 7
(2) 5","(1) 4-7
(2) 3-5",0,,,,,,,,,,,,,,,,,,,,,,
73,A2,100,R,Y,2/10/20,2/8/20,iris,-,,4/22/20,1/3,1/5 yellow,2/5 yellow,"1/6 yellow, 1/6 dead","1/6 yellow, 1/6 dead",1 yellow,1 yellow,5/29/20,big plant,8,5-8,0,,dead,na,na,yellow,6.9,17,green,6.2,23,green,5.6,28,,,,,,,,,
74,A2,100,R,Y,2/10/20,2/8/20,iris,-,,4/22/20,,,,,"1/6 yellow, 2/6 dead",,,5/29/20,big plant,8,5-8,0,,dead,na,na,yellow-green,7,15,green,7.5,21,green,6.4,25,,,,,,,,,
75,B,1,-,Y,2/10/20,2/8/20,iris,-,,4/22/20,,,"1/6 yellow, 1/6 dead","1/6 yellow, 2/6 dead","1/6 yellow, 2/6 dead",,,5/29/20,big plant,8,7-8,0,,dead,na,na,dead,na,na,dead,na,na,green,6.3,32,,,,,,,,,
76,B,1,-,Y,2/14/20,2/8/20,iris,-,,4/22/20,2/5,"1/5 yellow, 1/5 dead",2/5 dead,2/6 dead,"1/6 yellow, 2/6 dead",,,5/29/20,big plant,8,6-8,0,,dead,na,na,dead,na,na,green,6.9,25,green,5.5,29,,,,,,,,,
77,B,50,-,Y,2/10/20,2/8/20,iris,-,,5/8/20,,,,,,,,5/29/20,small plant,6,4-6,0,,,,,,,,,,,,,,,,,,,,,,
78,A2,0,-,Y,2/10/20,2/8/20,iris,-,,4/22/20,,,,1/5 dead,"1/6 yellow, 1/6 dead",1 yellow,1 yellow,5/29/20,big plant,7,4-7,0,,green,7.4,15,green,6.9,19,green,5.6,27,,,,,,,,,,,,
79,A2,1,R,Y,2/12/20,2/8/20,EEM,-,,4/22/20,1/3,2/6 dead,"1/6 yellow, 3/6 dead",,3/7 dead,,,5/29/20,big plant,8,6-8,0,,dead,na,na,dead,na,na,yellow-green,5.2,29,green,4.2,30,,,,,,,,,
80,A2,1,R,Y,2/12/20,2/8/20,EEM,-,,4/22/20,1/5,2/6 dead,"1/6 yellow, 2/6 dead",3/6 dead,"1/7 yellow, 3/7 dead",,,5/29/20,big plant,9,7-9,0,,dead,na,na,dead,na,na,dead,na,na,green,7.6,26,green,6.5,29,,,,,,
81,B,0,-,Y,2/22/20,2/19/20,potting soil,-,,5/8/20,,,,,,,,5/29/20,small plant,5,1-5,0,,,,,,,,,,,,,,,,,,,,,,
82,A3,0,R,Y,2/23/20,2/19/20,potting soil,-,,5/8/20,,,,,,,,5/29/20,small plant,6,6,0,,,,,,,,,,,,,,,,,,,,,,
83,B,50,R,N,did not germinate,2/19/20,potting soil,-,Yes,5/8/20,,,,,,,,5/29/20,small plant,4,1-4,0,,,,,,,,,,,,,,,,,,,,,,
84,B,50,-,Y,2/22/20,2/19/20,potting soil,-,,5/8/20,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
85,A3,50,-,Y,2/10/20,2/8/20,potting soil,-,,4/22/20,,,,,1/5 yellow,,,5/29/20,big plant,7,6-7,0,,dead,na,na,dead,na,na,green,6.4,29,,,,,,,,,,,,
86,A3,0,-,Y,2/10/20,2/8/20,potting soil,-,,4/22/20,1/6,1/6 dead,"1/6 yellow, 1/6 dead","1/7 yellow, 1/7 dead",2/7 dead,,,5/29/20,big plant,9,7-9,0,,dead,na,na,dead,na,na,dead,na,na,green,6.1,30,green,6.1,31,,,,,,
87,B,0,-,Y,2/23/20,2/19/20,plover,-,,5/8/20,,1/3 yellow,,,,,,5/29/20,small plant,5,3-5,0,,,,,,,,,,,,,,,,,,,,,,
88,A3,0,R,Y,2/22/20,2/19/20,plover,-,,5/8/20,,,,,,,,5/29/20,small plant,2,1-2,0,,,,,,,,,,,,,,,,,,,,,,
89,B,50,R,Y,2/22/20,2/19/20,plover,-,,5/8/20,,,,,,,,5/29/20,small plant,2,1-2,0,,,,,,,,,,,,,,,,,,,,,,
90,B,50,-,Y,2/25/20,2/19/20,plover,-,,4/22/20,,2/3 yellow,2/3 yellow,1/2 yellow,1/3 yellow,,,5/29/20,small plant,3,1-3,0,1 yellow leaf,,,,,,,,,,,,,,,,,,,,,
91,A3,0,-,Y,2/12/20,2/8/20,plover,-,,5/8/20,,,2/6 yellow,,,,,5/29/20,big plant,7,4-7,0,,"gray-green, curled",5,13,"gray-green, curled",3.5,17,gray-green,4,23,gray-green,,,,,,,,,,,
92,B,10,R,Y,2/10/20,2/8/20,plover,-,,4/22/20,2/3,1/3 yellow,1/3 yellow,1/3 yellow,1/3 yellow,,,5/29/20,small plant,5,1-5,0,,,,,,,,,,,,,,,,,,,,,,
93,A2,50,R,Y,2/25/20,2/19/20,iris,-,,5/8/20,,,,,,,,5/29/20,small plant,3,1-3,0,,,,,,,,,,,,,,,,,,,,,,
94,B,0,-,Y,2/22/20,2/19/20,iris,-,,5/8/20,,,,,,1 yellow,,5/29/20,big plant,7,4-7,0,,"green, wilting",7.3,13,"green, brown tip",7.9,19,green,6.4,26,,,,,,,,,,,,
95,A3,0,R,Y,2/23/20,2/19/20,iris,-,,5/8/20,,,,,,,,5/29/20,big plant,7,4-7,1,,green,6.5,14,green,6.4,17,green,5.9,23,,,,,,,,,,,,
96,B,50,R,Y,2/22/20,2/19/20,iris,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,1,,,,,,,,,,,,,,,,,,,,,,
97,B,50,R,Y,2/10/20,2/8/20,iris,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
