Sample ID,Maternal Line,Salinity ,Rhizobia (+/-),Germinated before planting,Germination Date,Date of planting,Soil Type,Soil autoclave,"Germinated 
227,A3,1,R,N,,3/12/20,iris,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
228,A2,1,-,N,,3/12/20,iris,-,,,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
229,B,1,R,N,,3/12/20,iris,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
230,B,10,R,N,,3/12/20,potting soil,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
231,A2,10,-,N,,3/12/20,EEM,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
232,A3,10,R,N,,3/12/20,plover,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
233,B,10,-,N,,3/12/20,plover,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
234,A2,10,R,N,,3/12/20,EEM,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
235,B,50,R,N,,3/12/20,potting soil,a+,,added 5/8/20,,,,,,1 yellow,1 yellow,5/29/20,small plant,6,4-6,0,,,,,,,,,,,,,,,,,,,,,,
236,B,50,-,N,,3/12/20,iris,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
237,A2,50,R,N,,3/12/20,iris,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
238,A3,50,-,N,,3/12/20,potting soil,a+,,added 5/8/20,,,,,,,,5/29/20,small plant,3,1-3,0,,,,,,,,,,,,,,,,,,,,,,
239,A3,50,R,N,,3/12/20,EEM,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
240,A3,100,R,N,,3/12/20,plover,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
241,A2,100,-,N,,3/12/20,plover,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
242,A2,100,R,N,,3/12/20,EEM,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
243,B,100,-,N,,3/12/20,potting soil,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
244,B,100,R,N,,3/12/20,iris,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
245,A3,10,R,N,,3/12/20,plover,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
246,A2,10,-,N,,3/12/20,EEM,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,1,,,,,,,,,,,,,,,,,,,,,,
247,B,10,R,N,,3/12/20,potting soil,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
248,A3,1,-,N,,3/12/20,iris,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
249,B,50,-,N,,3/12/20,iris,-,,,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
250,B,50,R,N,,3/12/20,potting soil,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
251,A3,10,-,N,,3/12/20,EEM,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
252,B,10,-,N,,3/12/20,plover,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
253,A3,100,R,N,,3/12/20,plover,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
254,A2,50,-,N,,3/12/20,EEM,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
255,A3,50,-,N,,3/12/20,potting soil,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
256,A2,50,R,N,,3/12/20,iris,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
257,A3,100,-,N,,3/12/20,iris,-,,added 5/8/20,,,,,,,,5/29/20,small plant,5,3-5,0,,,,,,,,,,,,,,,,,,,,,,
258,B,100,-,N,,3/12/20,potting soil,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
259,A2,100,R,N,,3/12/20,EEM,-,,,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
260,A2,100,-,N,,3/12/20,plover,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
261,A2,1,R,N,,3/12/20,potting soil,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
262,A3,1,R,N,,3/12/20,EEM,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
263,B,0,-,N,,3/12/20,plover,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
orange tape,,,,Y,,,,,,,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
orange tape,,,,Y,,,,,,,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
orange tape,,,,Y,,,,,,,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
orange tape,,,,Y,,,,,,,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
orange tape,,,,Y,,,,,,,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
orange tape,,,,Y,,,,,,,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
pink tape,,,,Y,,,,,,,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
pink tape,,,,Y,,,,,,,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
pink tape,,,,Y,,,,,,,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
pink tape,,,,Y,,,,,,,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
pink tape,,,,Y,,,,,,,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
yellow tape,,,,Y,,,,,,,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
yellow tape,,,,Y,,,,,,,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
yellow tape,,,,Y,,,,,,,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
yellow tape,,,,Y,,,,,,,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
yellow tape,,,,Y,,,,,,,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
yellow tape,,,,Y,,,,,,,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
1,A2,100,R,Y,2/10/20,2/8/20,potting soil,-,,5/8/2020,,,,,,,1 yellow,7/7/20,now a big plant,10,,0,,dead,na,na,dead,na,na,dead,na,na,dead,na,na,yellow-green,6,27,green,7.2,31,green,8.5,31
2,A2,100,R,Y,2/10/20,2/8/20,potting soil,-,,5/8/2020,,,,,,,,7/7/20,now a big plant,8,,0,,dead,na,na,dead,na,na,green,6.5,22,green,5.9,23,green,4.5,27,,,,,,
6,A2,100,-,Y,2/10/20,2/8/20,potting soil,-,,4/22/2020,,1/5 yellow,1/5 yellow,1/5 dead,"1/5 yellow, 1/5 dead",,,7/7/20,now a big plant,10,,0,,dead,na,na,dead,na,na,dead,na,na,dead,na,na,green,6.2,30,green,6.7,30,green,5.7,31
12,A2,100,-,Y,2/12/20,2/8/20,plover,-,,5/8/2020,1/3,1/3 yellow,1/3 yellow,,,,,7/7/20,now a big plant,8,,0,,dead,na,na,dead,na,na,green,5,16,green,5.5,21,green,5,22,green,3.5,21,,,
13,A2,100,R,Y,2/14/20,2/8/20,iris,-,,4/22/2020,1/5,"1/5 yellow, 1/5 dead","1/5 yellow, 1/5 dead",2/6 dead,2/6 dead,,,7/7/20,now a big plant,9,,0,,dead,na,na,dead,na,na,dead,na,na,green,4.1,29,green,6.7,28,green,5.5,28,,,
19,A2,100,-,Y,2/10/20,2/8/20,EEM,-,,4/22/2020,1/4,"2/6 yellow, 1/6 dead","1/6 yellow, 2/6 dead","1/6 yellow, 1/6 dead",3/6 dead,,,7/7/20,small plant,3,,0,,,,,,,,,,,,,,,,,,,,,,
21,A2,1,R,Y,2/14/20,2/8/20,potting soil,-,,5/8/2020,,,,,,,,7/7/20,now a big plant,8,,0,,dead,na,na,yellow-green,9,17,green,3-Sep,18,green,8.3,25,green,5.8,30,,,,,,
23,A2,1,R,Y,did not germinate,2/8/20,potting soil,-,Yes,5/8/2020,,,,,,,,7/7/20,now a big plant,9,,0,,dead,na,na,dead,na,na,green,7.8,17,green,7.5,19,green,7.2,24,green,3,24,green,3,29
27,A2,1,R,Y,2/10/20,2/8/20,plover,-,,5/8/2020,,,,,,,,7/7/20,senesced,,,0,,,,,,,,,,,,,,,,,,,,,,
35,B,1,R,Y,2/14/20,2/8/20,iris,-,,5/8/2020,,1/5 yellow,"1/5 yellow, 1/5 dead",2/4 dead,,,,7/7/20,with weed,,,1,,,,,,,,,,,,,,,,,,,,,,
36,A3,1,R,Y,2/10/20,2/8/20,iris,-,,4/22/2020,,,,"1/5 yellow, 1/5 dead","1/6 yellow, 1/6 dead",,,7/7/20,with weed,,,1,,,,,,,,,,,,,,,,,,,,,,
47,B,10,-,Y,2/10/20,2/8/20,plover,-,,1/0/00,,,,,,,,7/7/20,now a big plant,9,,0,,dead,na,na,dead,na,na,dead,na,na,dead,na,na,green,5.7,22,green,6.6,25,,,
48,A2,50,-,Y,2/14/20,2/8/20,plover,-,,4/22/2020,1/3,,1/3 yellow,1/3 yellow,1/3 yellow,,,7/7/20,small plant,3,,0,,,,,,,,,,,,,,,,,,,,,,
58,A2,50,R,Y,2/12/20,2/8/20,iris,-,,5/8/2020,,,,,,,,7/7/20,with weed,,,1,,,,,,,,,,,,,,,,,,,,,,
60,A2,100,-,Y,2/14/20,2/8/20,EEM,-,,5/8/2020,,,,,,,,7/7/20,now a big plant,8,,0,,yellow,5.8,10,green,6.8,13,green,7,15,green,6.3,15,green,3.8,22,,,,,,
69,B,0,R,Y,2/10/20,2/8/20,plover,-,,4/22/2020,1/3,2/3 yellow,2/3 yellow,1/3 yellow,1/3 yellow,1 yellow,1 yellow,7/7/20,small plant,5,,0,,,,,,,,,,,,,,,,,,,,,,
70,B,1,-,Y,2/10/20,2/8/20,plover,-,,4/22/2020,1/3,1/3 yellow,1/3 yellow,1/3 yellow,1/3 yellow,1 yellow,1 yellow,7/7/20,small plant,4,,0,,,,,,,,,,,,,,,,,,,,,,
73,A2,100,R,Y,2/10/20,2/8/20,iris,-,,4/22/2020,1/3,1/5 yellow,2/5 yellow,"1/6 yellow, 1/6 dead","1/6 yellow, 1/6 dead",1 yellow,1 yellow,7/7/20,small plant,6,,,,,,,,,,,,,,,,,,,,,,,,
77,B,50,-,Y,2/10/20,2/8/20,iris,-,,5/8/2020,,,,,,,,7/7/20,now a big plant,8,,0,,dead,na,na,dead,na,na,green,6.1,19,green,5.5,23,green,3.2,27,,,,,,
81,B,0,-,Y,2/22/20,2/19/20,potting soil,-,,5/8/2020,,,,,,,,7/7/20,now a big plant,7,,0,,yellow-green,8.2,17,green,8.3,25,green,8.1,27,green,5.6,30,,,,,,,,,
82,A3,0,R,Y,2/23/20,2/19/20,potting soil,-,,5/8/2020,,,,,,,,7/7/20,now a big plant,10,,0,,dead,na,na,dead,na,na,dead,na,na,dead,na,na,green,5.8,29,green,6.9,28,green,5.7,29
83,B,50,R,Y,did not germinate,2/19/20,potting soil,-,Yes,5/8/2020,,,,,,,,7/7/20,now a big plant,9,,0,,dead,na,na,dead,na,na ,yellow-green,7.3,19,green,7.2,25,green,8.2,29,green,6.2,29,,,
84,B,50,-,Y,2/22/20,2/19/20,potting soil,-,,5/8/2020,,,,,,,,7/7/20,now a big plant,9,,0,,dead,na,na,dead,na,na,yellow-green,6.1,23,green,7.3,27,green,7.7,30,green,6.2,31,,,
87,B,0,-,Y,2/23/20,2/19/20,plover,-,,5/8/2020,,1/3 yellow,,,,,,7/7/20,now a big plant,8,,0,,dead,na,na,yellow-green,6.6,21,green,6.9,24,green,6.4,27,green,4.7,29,,,,,,
88,A3,0,R,Y,2/22/20,2/19/20,plover,-,,5/8/2020,,,,,,,,7/7/20,small plant,4,,0,,,,,,,,,,,,,,,,,,,,,,
90,B,50,-,Y,2/25/20,2/19/20,plover,-,,4/22/2020,,2/3 yellow,2/3 yellow,1/2 yellow,1/3 yellow,,,7/7/20,now a big plant,7,,0,,green,3.2,11,green,6,9,green,7.1,15,green,5.6,19,,,,,,,,,
92,B,10,R,Y,2/10/20,2/8/20,plover,-,,4/22/2020,2/3,1/3 yellow,1/3 yellow,1/3 yellow,1/3 yellow,,,7/7/20,now a big plant,9,,0,,green,4.4,10,green,5.7,11,green,6.5,13,green,6.8,24,green,5.2,25,green,3,31,,,
98,B,10,R,Y,2/12/20,2/8/20,iris,-,,5/8/2020,,,,,,,,7/7/20,now a big plant,8,,0,,dead,na,na,dead,na,na,green,6,29,green,6.4,30,green,4.1,32,,,,,,
101,A3,50,R,Y,2/22/20,2/19/20,potting soil,-,,5/8/2020,,,,,,,,7/7/20,now a big plant,9,,0,,dead,na,na,dead,na,na,dead,na,na,green,6.7,29,green,7.5,28,green,6.4,28,,,
107,B,1,R,Y,2/22/20,2/19/20,plover,-,,5/8/2020,,,,,,,,7/7/20,now a big plant,8,,0,,yellow-green,4,18,green,3.1,25,green,4.1,22,green,6,19,green,3.5,19,,,,,,
113,B,0,R,Y,2/22/20,2/19/20,iris,-,,5/8/2020,,,,,,,,7/7/20,now a big plant,8,,0,,yellow-green,5.1,10,yellow-green,5.6,12,green,6.7,14,green,6.1,15,green,3.4,19,,,,,,
120,A3,50,-,Y,2/23/20,2/19/20,potting soil,-,,4/22/2020,,1/5 yellow,1/5 yellow,"1/5 yellow, 1/5 dead","1/5 yellow, 1/5 dead",1 yellow,,7/7/20,now a big plant,9,,0,,dead,na,na,dead,na,na,green,6.5,31,green,6.8,31,green,5.3,27,green,3.5,27,,,
130,A3,1,-,Y,did not germinate,2/19/20,iris,-,Yes,1/0/00,,,,,,,,7/7/20,small plant,5,,0,,,,,,,,,,,,,,,,,,,,,,
131,A3,0,-,Y,2/23/20,2/19/20,iris,-,,5/8/2020,,,,,,,,7/7/20,now a big plant,7,,0,,dead,na,na,dead,na,na,green,5.6,28,green,4.5,26,,,,,,,,,
132,A3,0,R,Y,2/22/20,2/19/20,iris,-,,5/8/2020,,,,,,,,7/7/20,small plant,4,,0,,,,,,,,,,,,,,,,,,,,,,
157,A3,50,R,Y,2/2/20,1/31/20,iris,-,,added 5/8/20,,,,,,,,7/7/20,now a big plant,7,,0,,dead,na,na,green,5.5,18,green,5.5,25,green,4.2,25,,,,,,,,,
166,B,50,-,Y,1/0/00,3/10/20,iris,a+,,added 5/8/20,,,,,,,,7/7/20,small plant,6,,0,,,,,,,,,,,,,,,,,,,,,,
171,A3,10,R,Y,1/0/00,3/10/20,EEM,a+,,added 5/8/20,,,,,,,,7/7/20,small plant,6,,0,,,,,,,,,,,,,,,,,,,,,,
172,A3,100,-,Y,1/0/00,3/10/20,potting soil,a+,,added 5/8/20,,,,,,1 yellow,1 yellow,7/7/20,now a big plant,8,,0,,yellow-green,7.4,14,yellow-green,7.1,19,yellow-green,8.2,25,yellow-green,4,28,green,3,26,,,,,,
174,A3,10,-,Y,3/13/20,3/10/20,iris,a+,,added 5/8/20,,,,,,,,7/7/20,now a big plant,7,,0,,yellow-green,5.9,11,yellow-green,6.2,15,yellow-green,5.8,19,green,3.6,21,,,,,,,,,
182,A3,1,R,Y,3/13/20,3/10/20,iris,a+,,added 5/8/20,,,,,,,,7/7/20,now a big plant,8,,0,,dead,na,na,dead,na,na,green,5.9,19,green,4.9,23,green,6.1,19,,,,,,
198,B,50,-,Y,2/25/20,2/19/20,EEM,-,,added 5/8/20,,,,,,,,7/7/20,now a big plant,7,,0,,green,7.3,11,green,7.5,17,green,7.4,21,green,7.3,27,,,,,,,,,
207,B,0,R,Y,2/23/20,2/19/20,EEM,-,,added 5/8/20,,,,,,,,7/7/20,now a big plant,10,,0,,dead,na,na,dead,na,na,dead,na,na,dead,na,na,green,7,30,green,7.4,30,green,5.4,33
217,A3,0,-,Y,1/0/00,3/12/20,potting soil,a+,,1/0/00,,,,,,,,7/7/20,now a big plant,7,,0,,yellow-green,7.2,13,yellow-green,6.8,17,yellow-green,6,21,yellow-green,5.3,25,,,,,,,,,
235,B,50,R,Y,1/0/00,3/12/20,potting soil,a+,,added 5/8/20,,,,,,1 yellow,1 yellow,7/7/20,senesced,8,,,,,,,,,,,,,,,,,,,,,,,,
238,A3,50,-,Y,1/0/00,3/12/20,potting soil,a+,,added 5/8/20,,,,,,,,7/7/20,small plant,6,,0,,,,,,,,,,,,,,,,,,,,,,
257,A3,100,-,Y,1/0/00,3/12/20,iris,-,,added 5/8/20,,,,,,,,7/7/20,now a big plant,8,,0,,dead,na,na,yellow-green,5.8,17,green,6,24,green,5.4,27,green,3.3.,27,,,,,,
32 (1),#N/A,#N/A,#N/A,Y,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9/4/20,senesced,,,,,,,,,,,,,,,,,,,,,,,,,
32 (2),#N/A,#N/A,#N/A,Y,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9/4/20,senesced,,,,,,,,,,,,,,,,,,,,,,,,,
59 (1),#N/A,#N/A,#N/A,Y,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9/4/20,senesced,,,,,,,,,,,,,,,,,,,,,,,,,
59 (2),#N/A,#N/A,#N/A,Y,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9/4/20,senesced,,,,,,,,,,,,,,,,,,,,,,,,,
72 (1),#N/A,#N/A,#N/A,Y,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9/4/20,senesced,,,,,,,,,,,,,,,,,,,,,,,,,
72 (2),#N/A,#N/A,#N/A,Y,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9/4/20,senesced,,,,,,,,,,,,,,,,,,,,,,,,,
7,A2,100,R,Y,2/10/20,2/8/20,plover,-,,5/8/2020,,2/3 yellow,,,,,,9/4/20,senesced,4,,,,,,,,,,,,,,,,,,,,,,,,
8,A2,100,R,Y,2/14/20,2/8/20,plover,-,,5/8/2020,1/3,2/3 yellow,,,,,,9/4/20,small plant,5,,,"plant is deep in pot - I'm unable to see or measure the leaves, which are very small",,,,,,,,,,,,,,,,,,,,,
35,B,1,R,Y,2/14/20,2/8/20,iris,-,,5/8/2020,,1/5 yellow,"1/5 yellow, 1/5 dead",2/4 dead,,,,9/4/20,senesced,,,,,,,,,,,,,,,,,,,,,,,,,
36,A3,1,R,Y,2/10/20,2/8/20,iris,-,,4/22/2020,,,,"1/5 yellow, 1/5 dead","1/6 yellow, 1/6 dead",,,9/4/20,senesced,,,,,,,,,,,,,,,,,,,,,,,,,
48,A2,50,-,Y,2/14/20,2/8/20,plover,-,,4/22/2020,1/3,,1/3 yellow,1/3 yellow,1/3 yellow,,,9/4/20,small plant,6,,0,plant is small and deep in pot - I'm unable to see or measure leaves,,,,,,,,,,,,,,,,,,,,,
49,B,50,R,Y,2/12/20,2/8/20,plover,-,,5/8/2020,1/3,,1/3 yellow,1/3 yellow,,,,9/4/20,big plant,8,,0,,,,,,,,,,,green,1.9,30,green,5.2,27,,,,,,
58,A2,50,R,Y,2/12/20,2/8/20,iris,-,,5/8/2020,,,,,,,,9/4/20,senesced,,,,,,,,,,,,,,,,,,,,,,,,,
69,B,0,R,Y,2/10/20,2/8/20,plover,-,,4/22/2020,1/3,2/3 yellow,2/3 yellow,1/3 yellow,1/3 yellow,1 yellow,1 yellow,9/4/20,big plant,7,,0,,yellow-green,1.5,10,green,1.5,8,green,1,10,green,1.5,8,,,,,,,,,
70,B,1,-,Y,2/10/20,2/8/20,plover,-,,4/22/2020,1/3,1/3 yellow,1/3 yellow,1/3 yellow,1/3 yellow,1 yellow,1 yellow,9/4/20,small plant,3,,,too low in pot - I can't see or measure,,,,,,,,,,,,,,,,,,,,,
73,A2,100,R,Y,2/10/20,2/8/20,iris,-,,4/22/2020,1/3,1/5 yellow,2/5 yellow,"1/6 yellow, 1/6 dead","1/6 yellow, 1/6 dead",1 yellow,1 yellow,9/4/20,senesced,,,,,,,,,,,,,,,,,,,,,,,,,
88,A3,0,R,Y,2/22/20,2/19/20,plover,-,,5/8/2020,,,,,,,,9/4/20,big plant,7,,0,,green,4.6,10,green,4.6,15,green,4.5,17,green,4.5,18,,,,,,,,,
89,B,50,R,Y,2/22/20,2/19/20,plover,-,,5/8/2020,,,,,,,,9/4/20,big plant,7,,0,,dead,na,na,green,3.8,10,green,5,13,green,6.1,10,green,3.7,16,,,,,,
93,A2,50,R,Y,2/25/20,2/19/20,iris,-,,5/8/2020,,,,,,,,9/4/20,big plant,9,,0,,,,,,,,,,,,,,,,,green,2.5,26,,,
130,A3,1,-,Y,did not germinate,2/19/20,iris,-,Yes,1/0/00,,,,,,,,9/4/20,senesced,,,,,,,,,,,,,,,,,,,,,,,,,
132,A3,0,R,Y,2/22/20,2/19/20,iris,-,,5/8/2020,,,,,,,,9/4/20,small plant,4,,0,too low in pot - I can't see or measure,,,,,,,,,,,,,,,,,,,,,
142,A2,100,-,Y,2/12/20,2/8/20,EEM,-,,5/8/2020,,,,,,,,9/4/20,senesced,,,,,,,,,,,,,,,,,,,,,,,,,
166,B,50,-,Y,1/0/00,3/10/20,iris,a+,,added 5/8/20,,,,,,,,9/4/20,big plant,7,,0,,,,,yellow,3,15,yellow,2.4,15,green,1.4,7,,,,,,,,,
171,A3,10,R,Y,1/0/00,3/10/20,EEM,a+,,added 5/8/20,,,,,,,,9/4/20,big plant,7,,0,,,,,,,,,,,green,1.5,13,,,,,,,,,
238,A3,50,-,Y,1/0/00,3/12/20,potting soil,a+,,added 5/8/20,,,,,,,,9/4/20,small plant,6,,0,,yellow,6.1,15,yellow,6,18,yellow-green,3.9,22,,,,,,,,,,,,